category,variant,max_recoverable_force,max_tested_force,n_success,n_total,tested_forces,success_forces
Forward L-S3,base,40.0,60.0,5,14,35.0 40.0 45.0 46.0 48.0 50.0 52.0 55.0 60.0,35.0 40.0
Forward L-S3,default,50.0,60.0,7,17,40.0 45.0 46.0 48.0 50.0 52.0 55.0 60.0,40.0 45.0 46.0 48.0 50.0
Forward L-S3,timing-biased,50.0,55.0,7,12,40.0 45.0 46.0 50.0 55.0,40.0 45.0 46.0 50.0
Forward R-S4,base,35.0,40.0,2,4,35.0 40.0,35.0
Forward R-S4,default,45.0,50.0,4,6,40.0 45.0 50.0,40.0 45.0
Forward R-S4,timing-biased,40.0,50.0,2,6,40.0 45.0 50.0,40.0
Push Fwd S3,base,0.0,40.0,0,4,35.0 40.0,
Push Fwd S3,default,0.0,45.0,0,4,40.0 45.0,
Push Fwd S3,timing-biased,0.0,45.0,0,4,40.0 45.0,
Push Fwd S4,base,0.0,40.0,0,4,35.0 40.0,
Push Fwd S4,default,0.0,45.0,0,4,40.0 45.0,
Push Fwd S4,timing-biased,0.0,45.0,0,4,40.0 45.0,
Push Bwd S3,base,0.0,40.0,0,4,35.0 40.0,
Push Bwd S3,default,0.0,45.0,0,4,40.0 45.0,
Push Bwd S3,timing-biased,0.0,45.0,0,4,40.0 45.0,
Push Bwd S4,base,0.0,40.0,0,4,35.0 40.0,
Push Bwd S4,default,0.0,45.0,0,4,40.0 45.0,
Push Bwd S4,timing-biased,0.0,45.0,0,4,40.0 45.0,
Inplace L-S3,base,30.0,30.0,1,4,25.0 30.0,30.0
Inplace L-S3,default,35.0,40.0,1,6,30.0 35.0 40.0,35.0
Inplace L-S3,timing-biased,35.0,40.0,2,6,30.0 35.0 40.0,30.0 35.0
Inplace R-S4,base,30.0,30.0,3,4,25.0 30.0,25.0 30.0
Inplace R-S4,default,0.0,40.0,0,6,30.0 35.0 40.0,
Inplace R-S4,timing-biased,0.0,40.0,0,6,30.0 35.0 40.0,
Long L-S3,base,0.0,35.0,0,3,25.0 30.0 35.0,
Long L-S3,default,0.0,35.0,0,3,25.0 30.0 35.0,
Long L-S3,timing-biased,0.0,35.0,0,3,25.0 30.0 35.0,
Long R-S4,base,0.0,35.0,0,3,25.0 30.0 35.0,
Long R-S4,default,0.0,35.0,0,3,25.0 30.0 35.0,
Long R-S4,timing-biased,0.0,35.0,0,3,25.0 30.0 35.0,
