category,variant,max_recoverable_force,max_tested_force,n_success,n_total,tested_forces,success_forces
Forward L-S3,base,40.0,60.0,2,9,35.0 40.0 45.0 46.0 48.0 50.0 52.0 55.0 60.0,35.0 40.0
Forward L-S3,default,50.0,60.0,5,10,40.0 45.0 46.0 48.0 50.0 52.0 55.0 60.0,40.0 45.0 46.0 48.0 50.0
Forward L-S3,timing-biased,55.0,60.0,7,10,40.0 45.0 46.0 48.0 50.0 52.0 55.0 60.0,40.0 45.0 46.0 48.0 50.0 55.0
Forward R-S4,base,35.0,40.0,1,2,35.0 40.0,35.0
Forward R-S4,default,45.0,50.0,2,3,40.0 45.0 50.0,40.0 45.0
Forward R-S4,timing-biased,40.0,50.0,1,3,40.0 45.0 50.0,40.0
Push Fwd S3,base,0.0,40.0,0,2,35.0 40.0,
Push Fwd S3,default,0.0,45.0,0,2,40.0 45.0,
Push Fwd S3,timing-biased,0.0,45.0,0,2,40.0 45.0,
Push Fwd S4,base,0.0,40.0,0,2,35.0 40.0,
Push Fwd S4,default,0.0,45.0,0,2,40.0 45.0,
Push Fwd S4,timing-biased,0.0,45.0,0,2,40.0 45.0,
Push Bwd S3,base,0.0,40.0,0,2,35.0 40.0,
Push Bwd S3,default,0.0,45.0,0,2,40.0 45.0,
Push Bwd S3,timing-biased,0.0,45.0,0,2,40.0 45.0,
Push Bwd S4,base,0.0,40.0,0,2,35.0 40.0,
Push Bwd S4,default,0.0,45.0,0,2,40.0 45.0,
Push Bwd S4,timing-biased,0.0,45.0,0,2,40.0 45.0,
Inplace L-S3,base,30.0,30.0,1,2,25.0 30.0,30.0
Inplace L-S3,default,0.0,40.0,0,3,30.0 35.0 40.0,
Inplace L-S3,timing-biased,35.0,40.0,1,3,30.0 35.0 40.0,35.0
Inplace R-S4,base,30.0,30.0,2,2,25.0 30.0,25.0 30.0
Inplace R-S4,default,0.0,40.0,0,3,30.0 35.0 40.0,
Inplace R-S4,timing-biased,0.0,40.0,0,3,30.0 35.0 40.0,
