category,variant,max_recoverable_force,max_tested_force,n_success,n_total,tested_forces,success_forces
Forward L-S3,base,40.0,60.0,4,14,35.0 40.0 45.0 46.0 48.0 50.0 52.0 55.0 60.0,35.0 40.0
Forward L-S3,default,50.0,60.0,6,17,40.0 45.0 46.0 48.0 50.0 52.0 55.0 60.0,40.0 45.0 46.0 50.0
Forward L-S3,timing-biased,55.0,60.0,8,17,40.0 45.0 46.0 48.0 50.0 52.0 55.0 60.0,40.0 45.0 46.0 48.0 55.0
Forward R-S4,base,35.0,40.0,2,4,35.0 40.0,35.0
Forward R-S4,default,45.0,50.0,3,6,40.0 45.0 50.0,40.0 45.0
Forward R-S4,timing-biased,50.0,50.0,3,6,40.0 45.0 50.0,40.0 50.0
Push Fwd S3,base,10.0,40.0,2,10,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0,5.0 10.0
Push Fwd S3,default,15.0,45.0,3,10,5.0 10.0 15.0 20.0 25.0 30.0 40.0 45.0,5.0 10.0 15.0
Push Fwd S3,timing-biased,10.0,45.0,2,10,5.0 10.0 15.0 20.0 25.0 30.0 40.0 45.0,5.0 10.0
Push Fwd S4,base,15.0,40.0,2,10,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0,5.0 15.0
Push Fwd S4,default,5.0,45.0,1,10,5.0 10.0 15.0 20.0 25.0 30.0 40.0 45.0,5.0
Push Fwd S4,timing-biased,5.0,45.0,1,10,5.0 10.0 15.0 20.0 25.0 30.0 40.0 45.0,5.0
Push Bwd S3,base,25.0,40.0,5,10,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0,5.0 10.0 15.0 20.0 25.0
Push Bwd S3,default,25.0,45.0,4,10,5.0 10.0 15.0 20.0 25.0 30.0 40.0 45.0,10.0 15.0 20.0 25.0
Push Bwd S3,timing-biased,25.0,45.0,4,10,5.0 10.0 15.0 20.0 25.0 30.0 40.0 45.0,10.0 15.0 20.0 25.0
Push Bwd S4,base,25.0,40.0,5,10,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0,5.0 10.0 15.0 20.0 25.0
Push Bwd S4,default,25.0,45.0,5,10,5.0 10.0 15.0 20.0 25.0 30.0 40.0 45.0,5.0 10.0 15.0 20.0 25.0
Push Bwd S4,timing-biased,25.0,45.0,5,10,5.0 10.0 15.0 20.0 25.0 30.0 40.0 45.0,5.0 10.0 15.0 20.0 25.0
Inplace L-S3,base,20.0,30.0,1,8,5.0 10.0 15.0 20.0 25.0 30.0,20.0
Inplace L-S3,default,5.0,40.0,1,10,5.0 10.0 15.0 20.0 30.0 35.0 40.0,5.0
Inplace L-S3,timing-biased,30.0,40.0,1,10,5.0 10.0 15.0 20.0 30.0 35.0 40.0,30.0
Inplace R-S4,base,30.0,30.0,4,8,5.0 10.0 15.0 20.0 25.0 30.0,5.0 15.0 25.0 30.0
Inplace R-S4,default,35.0,40.0,1,10,5.0 10.0 15.0 20.0 30.0 35.0 40.0,35.0
Inplace R-S4,timing-biased,35.0,40.0,4,10,5.0 10.0 15.0 20.0 30.0 35.0 40.0,15.0 20.0 30.0 35.0
Long L-S3,base,20.0,35.0,4,7,5.0 10.0 15.0 20.0 25.0 30.0 35.0,5.0 10.0 15.0 20.0
Long L-S3,default,15.0,35.0,3,7,5.0 10.0 15.0 20.0 25.0 30.0 35.0,5.0 10.0 15.0
Long L-S3,timing-biased,15.0,35.0,3,7,5.0 10.0 15.0 20.0 25.0 30.0 35.0,5.0 10.0 15.0
Long R-S4,base,15.0,35.0,2,7,5.0 10.0 15.0 20.0 25.0 30.0 35.0,5.0 15.0
Long R-S4,default,15.0,35.0,2,7,5.0 10.0 15.0 20.0 25.0 30.0 35.0,5.0 15.0
Long R-S4,timing-biased,30.0,35.0,3,7,5.0 10.0 15.0 20.0 25.0 30.0 35.0,5.0 15.0 30.0
Paper L-S3,base,35.0,45.0,1,3,35.0 40.0 45.0,35.0
Paper L-S3,default,35.0,45.0,1,3,35.0 40.0 45.0,35.0
Paper L-S3,timing-biased,40.0,45.0,2,3,35.0 40.0 45.0,35.0 40.0
Paper R-S4,base,30.0,45.0,6,9,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0,5.0 10.0 15.0 20.0 25.0 30.0
Paper R-S4,default,30.0,45.0,6,9,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0,5.0 10.0 15.0 20.0 25.0 30.0
Paper R-S4,timing-biased,30.0,45.0,6,9,5.0 10.0 15.0 20.0 25.0 30.0 35.0 40.0 45.0,5.0 10.0 15.0 20.0 25.0 30.0
Paper Inplace L-S3,base,0.0,35.0,0,3,25.0 30.0 35.0,
Paper Inplace L-S3,default,30.0,35.0,2,3,25.0 30.0 35.0,25.0 30.0
Paper Inplace L-S3,timing-biased,30.0,35.0,2,3,25.0 30.0 35.0,25.0 30.0
